ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YEL072W	0.006208	5490	50002150912	1758.906	1747.955	10.951	0	0	
YEL073C	0.009257	2344	50025196298	570.093	569.664	0.428	0	0	
YEL075C	0.03778	2651	50025665923	674.121	673.123	0.998	0	0	
YEL076C	0.0227	4780	50039670830	1573.919	1557.158	16.761	0	0	
YJL133W	0.185	6810	50018285393	3072.541	3020.352	52.190	0	0	
YGR165W	0.1807	7400	50000477969	3741.485	3717.859	23.626	0	0	
YEL076CA	0.0084	4845	50031373749	1573.211	1568.204	5.008	0	0	
YDL095W	1.39	3015	50013480199	44665.351	40230.778	4434.573	0	0	
YOR119C	0.1646	10543	50000251241	8313.932	8136.353	177.579	0	0	
YJL134W	0.432	8244	50002233150	5427.403	5225.869	201.533	0	0	
YJL136C	20.51	1112	50056285286	432.955	433.352	-0.397	0	0	
YMR266W	0.3693	5450	50001704577	90602.257	77351.413	13250.844	0	0	
YDL097C	0.6522	7988	50010143975	6252.582	6002.918	249.664	0	0	
YOR120W	0.01304	7038	50017309861	3001.669	3030.735	-29.066	0	0	
YOR122C	1.925	2743	50019303916	691.734	694.906	-3.172	0	0	
YDL098C	0.07751	4250	50004334866	1327.308	1328.471	-1.163	0	0	
YMR267W	0.1223	7042	50001870536	2999.910	2975.832	24.078	0	0	
YJL137C	0.03154	8878	50000176186	4682.428	4644.042	38.387	0	0	
YGR166W	0.04361	13034	50002196809	12695.545	12340.207	355.338	0	0	
YDL099W	0.2585	7168	50003552098	3653.141	3569.563	83.577	0	0	
YJL138C	5.284	2967	50000322774	4684.782	4659.111	25.671	0	0	
YGR167W	0.547	5311	50007170387	1759.643	1772.979	-13.336	0	0	
YOR123C	0.4378	8596	50005351038	7583.369	7284.727	298.642	0	0	
YDL100C	1.62	5415	50022332416	3822.177	3759.067	63.110	0	0	
YMR268C	0.05758	10193	50005006586	6793.259	6687.793	105.466	0	0	
YLR114C	0.06314	16396	50001902245	37227.733	34363.842	2863.891	0	0	
YMR269W	0.42	4623	50045264766	1506.394	1501.447	4.947	0	0	
YGR168C	0.02485	8661	50000005187	4517.808	4477.915	39.893	0	0	
YJL139C	0.05637	9671	50011715580	6194.363	6135.221	59.142	0	0	
YJL140W	0.3957	4898	50012727170	1639.649	1623.222	16.427	0	0	
YMR270C	0.09575	8441	50005346352	4304.872	4229.128	75.744	0	0	
YGR169C	0.04468	9204	50005837409	5328.456	5282.187	46.269	0	0	
YEL077C	0.06919	8438	50001364759	503995.664	373259.771	130735.893	0	0	
YMR271C	0.02993	5137	50002014381	1673.656	1688.022	-14.366	0	0	
YDL101C	0.1044	11805	50001317374	9763.057	9576.461	186.596	0	0	
YOR124C	0.1462	4627	50009334885	489881.525	373855.515	116026.010	0	0	
YOR125C	0.1187	5207	50001780287	1759.970	1763.803	-3.834	0	0	
YMR272C	0.9375	7281	50006457685	4646.256	4569.155	77.101	0	0	
YOR126C	0.1747	5362	50007382900	1844.137	1834.522	9.614	0	0	
YAL001C	0.03665	13069	50000423664	277261.803	212557.145	64704.659	0	0	
YER001W	0.5204	6354	50001285331	36194.232	31807.495	4386.736	0	0	
YER002W	0.8385	4732	50005575615	1747.975	1738.317	9.657	0	0	
YER003C	0.972	6652	50005365558	5930.718	5778.505	152.213	0	0	
YER004W	0.7859	4965	50006695312	1726.670	1711.753	14.917	0	0	
YDL102W	0.1486	7461	50002374457	187961.757	154484.624	33477.133	0	0	
YLR115W	0.05328	16194	50008143753	59121.032	52891.329	6229.703	0	0	
YJL141C	0.03763	16723	50000696175	46396.597	43524.954	2871.643	0	0	
YJL143W	0.9719	3271	50013770715	952.853	957.645	-4.791	0	0	
YJL144W	0.06627	2387	50013069703	551.319	550.342	0.977	0	0	
YJL145W	0.5227	6570	50002351153	2667.612	2661.133	6.479	0	0	
YMR273C	0.07841	12411	50000670536	83807.116	71152.875	12654.241	0	0	
YDL103C	0.4503	8690	50001029573	7814.732	7472.805	341.927	0	0	
YLR116W	0.03707	10374	50010215526	8070.927	7977.627	93.300	0	0	
YMR274C	0.1718	7196	50006473647	3106.418	3066.340	40.078	0	0	
YJL146W	0.01936	10492	50004510207	7795.124	7709.754	85.370	0	0	
YDL104C	0.02795	9060	50012985586	5412.371	5310.547	101.823	0	0	
YER005W	0.1238	12907	50001851423	18712.647	17246.671	1465.976	0	0	
YJL147C	0.01063	8679	50006587226	4712.231	4687.823	24.408	0	0	
YDL105W	0.03693	9100	50007957694	5296.142	5249.094	47.048	0	0	
YJL148W	0.8785	5126	50007240805	1770.544	1771.348	-0.804	0	0	
YER006W	0.9703	6198	50006568803	9806.177	9180.798	625.379	0	0	
