ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YEL072W	0.006208	5558	50008206137	1039.749	1039.849	-0.100	0	0	
YEL073C	0.009257	2439	50002013439	453.378	453.344	0.033	0	0	
YEL075C	0.03778	2628	50002012552	520.092	520.293	-0.201	0	0	
YJL133W	0.185	6884	50011662434	1473.003	1472.577	0.426	0	0	
YGR165W	0.1807	7624	50011758414	1645.088	1644.174	0.913	0	0	
YEL076C	0.0227	4833	50003242453	965.208	964.647	0.561	0	0	
YEL076CA	0.0084	4825	50007295668	965.141	964.303	0.838	0	0	
YOR119C	0.1646	11057	50006291869	2480.240	2486.982	-6.741	0	0	
YJL134W	0.432	9337	50000623612	2012.804	2011.984	0.820	0	0	
YJL136C	20.51	1874	50016124058	364.382	364.869	-0.488	0	0	
YOR120W	0.01304	7012	50001539989	1459.705	1462.579	-2.874	0	0	
YOR122C	1.925	2780	50030504672	536.474	537.584	-1.110	0	0	
YJL137C	0.03154	8807	50007843032	1849.724	1849.445	0.279	0	0	
YGR166W	0.04361	13420	50003487162	2991.051	2984.480	6.571	0	0	
YGR167W	0.547	5439	50003981356	1047.215	1050.098	-2.883	0	0	
YOR123C	0.4378	10498	50004012273	2359.764	2358.080	1.684	0	0	
YLR114C	0.06314	18117	50002801652	4563.027	4559.953	3.074	0	0	
YGR168C	0.02485	8746	50016163431	1823.058	1818.293	4.765	0	0	
YJL138C	5.284	8029	50001384757	1910.768	1919.067	-8.298	0	0	
YGR169C	0.04468	9172	50000544184	1987.569	1985.983	1.586	0	0	
YJL139C	0.05637	9923	50001529453	2134.990	2133.951	1.039	0	0	
YJL140W	0.3957	5121	50001561288	990.529	989.748	0.781	0	0	
YDL095W	1.39	17884	50003074644	4962.463	4973.943	-11.480	0	0	
YMR266W	0.3693	21552	50001638647	6262.377	6287.706	-25.330	0	0	
YDL097C	0.6522	10221	50003314305	2163.913	2165.040	-1.127	0	0	
YDL098C	0.07751	4463	50006602922	857.698	857.573	0.125	0	0	
YMR267W	0.1223	7027	50016323111	1451.796	1450.648	1.148	0	0	
YDL099W	0.2585	7357	50001831699	1622.912	1623.737	-0.825	0	0	
YLR115W	0.05328	19527	50007535876	5388.588	5381.417	7.171	0	0	
YMR268C	0.05758	10299	50007045587	2234.881	2233.911	0.970	0	0	
YAL001C	0.03665	26211	50000749647	8658.246	8606.227	52.018	0	0	
YMR269W	0.42	4763	50002579933	939.622	939.844	-0.222	0	0	
YDL100C	1.62	8093	50000251945	1687.455	1694.365	-6.910	0	0	
YJL141C	0.03763	18297	50000779567	4929.918	4942.787	-12.869	0	0	
YJL143W	0.9719	3441	50001365924	683.732	684.707	-0.975	0	0	
YJL144W	0.06627	2469	50084939535	440.298	440.009	0.289	0	0	
YLR116W	0.03707	10281	50009964826	2434.667	2435.131	-0.463	0	0	
YMR270C	0.09575	8465	50006433849	1764.319	1762.944	1.375	0	0	
YMR271C	0.02993	5192	50010682134	1016.323	1016.641	-0.318	0	0	
YJL145W	0.5227	6916	50004161541	1362.140	1363.796	-1.656	0	0	
YDL101C	0.1044	12148	50004354319	2670.563	2674.580	-4.017	0	0	
YMR272C	0.9375	9102	50016668876	1863.646	1872.215	-8.569	0	0	
YJL146W	0.01936	10603	50000510360	2390.825	2387.698	3.127	0	0	
YEL077C	0.06919	28783	50000227691	10220.124	10192.455	27.668	0	0	
YLR117C	0.02389	15222	50000058549	3942.561	3929.359	13.201	0	0	
YJL147C	0.01063	8711	50022439740	1859.474	1856.446	3.028	0	0	
YJL148W	0.8785	5346	50004708505	1048.501	1049.440	-0.939	0	0	
YLR118C	0.2693	5162	50015979873	1016.923	1016.693	0.230	0	0	
YGR170W	0.01578	25900	50000587763	8421.301	8388.209	33.092	0	0	
YLR119W	0.4235	4876	50028265517	951.166	950.717	0.449	0	0	
YOR124C	0.1462	29526	50000226066	10142.632	10157.067	-14.435	0	0	
YGR171C	0.06826	13038	50002391824	3098.325	3095.363	2.961	0	0	
YOR125C	0.1187	5180	50025557903	1047.280	1048.603	-1.324	0	0	
YJL149W	0.05398	15568	50000115732	3746.047	3752.257	-6.210	0	0	
YGR172C	0.5365	6036	50003769351	1123.023	1123.172	-0.149	0	0	
YOR126C	0.1747	5328	50007548266	1074.557	1074.638	-0.081	0	0	
YJL151C	1.974	3071	50003783867	570.428	570.730	-0.302	0	0	
YLR120C	0.4911	13109	50001950013	3021.053	3031.644	-10.591	0	0	
YER001W	0.5204	17603	50004304282	4530.495	4533.536	-3.041	0	0	
YMR273C	0.07841	20151	50002005566	5975.094	5962.245	12.849	0	0	
YGR173W	0.4513	8326	50003518357	1768.601	1771.887	-3.286	0	0	
YER002W	0.8385	4952	50001974000	1038.719	1040.122	-1.402	0	0	
YGR174C	0.205	3398	50003323886	742.506	742.448	0.058	0	0	
YMR274C	0.1718	7491	50002558222	1479.275	1474.520	4.755	0	0	
YJL153C	0.01441	12193	50004855908	2793.605	2802.878	-9.274	0	0	
YLR121C	0.1085	11866	50000959716	2619.904	2632.723	-12.819	0	0	
YLR125W	0.009696	2899	50027233489	584.065	584.233	-0.169	0	0	
YLR126C	0.1812	5638	50016611435	1141.745	1142.005	-0.260	0	0	
YER003C	0.972	9653	50002038237	2125.713	2132.859	-7.146	0	0	
YER004W	0.7859	5225	50004863482	1036.435	1036.276	0.160	0	0	
YGR175C	2.194	11310	50006323510	2530.158	2541.685	-11.527	0	0	
YDL102W	0.1486	25007	50002629819	7816.653	7863.084	-46.432	0	0	
YAL002W	0.01333	29934	50000261965	10169.901	10146.573	23.328	0	0	
YAL003W	16.8	4230	50000751528	910.215	912.640	-2.425	0	0	
YDL103C	0.4503	10915	50009147771	2426.525	2428.055	-1.530	0	0	
YGR177C	0.1036	12812	50001911595	2813.385	2815.480	-2.095	0	0	
YER005W	0.1238	14562	50000770697	3504.624	3495.194	9.430	0	0	
YDL104C	0.02795	9304	50002648867	2005.114	1999.720	5.393	0	0	
YOR127W	0.02831	22779	50000218741	6932.087	6913.514	18.573	0	0	
YLR127C	0.004244	19873	50006424741	5375.231	5358.051	17.181	0	0	
YDL105W	0.03693	9032	50009094334	1977.227	1976.064	1.163	0	0	
YLR128W	0.05423	6142	50003280443	1237.229	1235.576	1.653	0	0	
YER006W	0.9703	11556	50001712503	2702.451	2708.551	-6.100	0	0	
YER007CA	1.212	3998	50010255992	792.026	793.415	-1.389	0	0	
YMR275C	0.02512	22463	50012068463	6543.828	6551.822	-7.994	0	0	
YJL154C	0.0967	21768	50001402975	6221.155	6220.863	0.292	0	0	
YAL005C	4.907	12288	50004917487	3502.043	3524.232	-22.189	0	0	
YAL007C	0.3824	5043	50024845433	956.436	957.998	-1.562	0	0	
YOR128C	0.3226	12748	50000161302	3042.175	3051.708	-9.533	0	0	
YMR276W	1.41	8079	50003718200	1800.795	1801.884	-1.089	0	0	
YAL008W	0.3037	4404	50042398504	875.029	875.860	-0.832	0	0	
YJL155C	0.09238	10094	50008448652	2280.167	2280.836	-0.669	0	0	
YGR178C	0.5679	15671	50004609765	4186.922	4204.878	-17.956	0	0	
YDL106C	0.04929	13528	50001472619	2992.965	2993.863	-0.898	0	0	
YAL009W	0.1011	5645	50005487316	1183.165	1181.100	2.065	0	0	
YER007W	0.03175	12124	50000032160	2711.340	2705.670	5.670	0	0	
YDL107W	0.01289	7976	50003835973	1683.694	1679.897	3.797	0	0	
YGR179C	0.04286	8670	50002980467	2005.906	1998.204	7.702	0	0	
YDL108W	0.1321	6739	50018881632	1432.754	1430.645	2.110	0	0	
YGR180C	2.986	7684	50008718716	1633.681	1642.654	-8.973	0	0	
YGR181W	1.239	2331	50009757292	443.671	444.692	-1.022	0	0	
YGR183C	0.6642	1549	50011016911	274.762	274.518	0.244	0	0	
YAL010C	0.0355	11623	50002897607	2542.803	2540.400	2.404	0	0	
YJL156C	0.04267	15661	50000741245	3917.782	3920.985	-3.203	0	0	
YMR277W	0.07395	16875	50001119846	4295.600	4300.431	-4.831	0	0	
YDL109C	0.03142	14785	50000185430	3614.270	3614.206	0.064	0	0	
YAL011W	0.06755	13015	50002094849	3460.829	3459.709	1.121	0	0	
YDL110C	0.2034	3476	50006621833	648.209	648.647	-0.437	0	0	
YLR129W	0.2625	21234	50002481572	6175.387	6190.264	-14.877	0	0	
YDL111C	0.4351	6303	50006092348	1212.546	1211.126	1.420	0	0	
YOR129C	0.03172	21154	50002386976	5739.701	5733.345	6.356	0	0	
YMR278W	0.1679	14244	50000769616	3431.554	3427.246	4.308	0	0	
YOR130C	0.2081	6858	50003168500	1354.142	1353.186	0.956	0	0	
YAL012W	5.205	8746	50002885255	1905.743	1913.728	-7.984	0	0	
YLR130C	0.1584	9864	50007475229	2087.484	2088.018	-0.534	0	0	
YOR131C	0.4567	4811	50000601519	975.572	973.575	1.997	0	0	
YAL013W	0.2613	9513	50009410824	2090.408	2087.439	2.970	0	0	
YAL014C	0.1132	5764	50001814444	1163.372	1161.843	1.529	0	0	
YMR279C	0.007247	12308	50001499654	2840.151	2840.875	-0.724	0	0	
YOR132W	0.2318	11860	50003416466	2931.828	2923.976	7.853	0	0	
YAL015C	0.1061	8518	50005960362	1955.107	1953.591	1.516	0	0	
YJL157C	0.5799	18957	50001145787	5137.749	5125.348	12.401	0	0	
YJL158C	15.41	4439	50019688340	1011.797	1014.433	-2.636	0	0	
YLR131C	0.02095	17593	50008832270	4640.398	4618.436	21.962	0	0	
YLR132C	0.07969	6594	50002379981	1347.444	1345.027	2.417	0	0	
YJL159W	4.526	8066	50013131353	1855.200	1868.142	-12.943	0	0	
YJL160C	0.04332	6431	50000442778	1322.094	1322.777	-0.683	0	0	
YJL161W	0.02287	4329	50034051849	789.975	789.281	0.694	0	0	
YAL016W	1.003	14806	50009725869	3512.874	3511.535	1.339	0	0	
YOR133W	11.04	9946	50000781943	5092.224	5097.378	-5.154	0	0	
YER008C	0.1189	29703	50000181157	11085.641	11086.018	-0.377	0	0	
YLR133W	0.1615	13107	50005003691	3135.599	3139.334	-3.735	0	0	
YER009W	2.061	2882	50004128901	533.320	534.212	-0.892	0	0	
YER010C	0.1305	5487	50008030584	1052.825	1051.788	1.037	0	0	
YOR134W	0.03239	9110	50006062553	2022.032	2021.570	0.462	0	0	
YJL162C	0.01508	12839	50005653245	3164.255	3153.730	10.525	0	0	
YER011W	4.828	5515	50016999983	1144.215	1150.833	-6.618	0	0	
YER012W	1.499	4513	50009712786	875.077	875.945	-0.868	0	0	
