ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YMR266W	0.3693	1	nan	3972538.030	3972538.030	0.000	0	0	
YAL001C	0.03665	1	nan	34894648.596	34894648.596	0.000	0	0	
YDL095W	1.39	1	nan	1019678.904	1019678.904	0.000	0	0	
YAL002W	0.01333	1	nan	104681894.022	104681894.022	0.000	0	0	
YAL003W	16.8	729	50461456422	2479.687	2465.079	14.608	0	0	
YAL005C	4.907	1	nan	156788.859	156788.859	0.000	0	0	
YEL072W	0.006208	5465	50000773544	3540.140	3493.638	46.502	0	0	
YEL073C	0.009257	2403	50010792081	759.130	753.111	6.019	0	0	
YAL007C	0.3824	4504	50001602986	2827.119	2802.837	24.282	0	0	
YEL075C	0.03778	2734	50006437381	934.995	930.067	4.928	0	0	
YDL097C	0.6522	2815	50006522552	27729.359	23961.283	3768.076	0	0	
YLR114C	0.06314	2328	50002493217	740637.609	537278.697	203358.912	0	0	
YEL076C	0.0227	4915	50000196560	3001.708	2928.083	73.625	0	0	
YJL133W	0.185	5873	50011053795	8384.704	7639.591	745.113	0	0	
YDL098C	0.07751	4555	50029834389	2350.986	2299.447	51.539	0	0	
YGR165W	0.1807	5573	50007599938	11624.392	10559.894	1064.499	0	0	
YMR267W	0.1223	6452	50002842921	8065.723	7639.699	426.024	0	0	
YAL008W	0.3037	4260	50010228052	2385.080	2326.374	58.706	0	0	
YOR119C	0.1646	4685	50008605719	45776.224	39161.876	6614.349	0	0	
YEL076CA	0.0084	4947	50026588153	2998.646	2981.617	17.029	0	0	
YEL077C	0.06919	1	nan	112027259.547	112027259.547	0.000	0	0	
YER001W	0.5204	1	nan	705165.638	705165.638	0.000	0	0	
YLR115W	0.05328	1694	50003140681	1774785.776	1167922.658	606863.118	0	0	
YER002W	0.8385	3373	50027435149	3488.685	3333.470	155.215	0	0	
YAL009W	0.1011	5684	50017774131	4794.305	4642.585	151.721	0	0	
YJL134W	0.432	3458	50036633003	21796.373	18474.281	3322.092	0	0	
YDL099W	0.2585	4853	50014803319	11166.709	10058.975	1107.734	0	0	
YJL136C	20.51	789	50070117105	535.292	534.525	0.767	0	0	
YOR120W	0.01304	7070	50010810719	8013.810	8064.943	-51.134	0	0	
YOR122C	1.925	2168	50003516752	952.450	953.945	-1.495	0	0	
YDL100C	1.62	1933	50010186175	11753.471	10993.219	760.253	0	0	
YER003C	0.972	1918	50049590129	24914.357	22573.407	2340.950	0	0	
YER004W	0.7859	3645	50000140144	3401.187	3207.819	193.368	0	0	
YMR268C	0.05758	8045	50004013650	32413.974	28045.735	4368.239	0	0	
YOR123C	0.4378	3439	50026859469	39284.628	33541.266	5743.362	0	0	
YOR124C	0.1462	1	nan	104942932.654	104942932.654	0.000	0	0	
YGR166W	0.04361	6980	50002011565	99464.429	78920.298	20544.131	0	0	
YMR269W	0.42	4341	50004181127	2803.732	2755.119	48.612	0	0	
YJL137C	0.03154	8386	50005034990	16998.428	16445.430	552.998	0	0	
YJL138C	5.284	557	50038096799	16228.264	15931.681	296.583	0	0	
YGR167W	0.547	4411	50008461702	3509.035	3422.879	86.156	0	0	
YOR125C	0.1187	5253	50007834256	3508.760	3506.143	2.617	0	0	
YDL101C	0.1044	5441	50004095018	61084.024	50906.233	10177.791	0	0	
YDL102W	0.1486	1	nan	16329815.092	16329815.092	0.000	0	0	
YER005W	0.1238	3289	50018108682	203016.124	150079.433	52936.691	0	0	
YLR116W	0.03707	8224	50010949967	43734.818	38221.667	5513.150	0	0	
YER006W	0.9703	1081	50050902548	60849.374	51289.186	9560.187	0	0	
YAL010C	0.0355	9452	50000313781	51799.891	45588.545	6211.346	0	0	
YOR126C	0.1747	5210	50010363848	3782.024	3692.182	89.842	0	0	
YOR127W	0.02831	1	nan	8670285.074	8670285.074	0.000	0	0	
YDL103C	0.4503	2689	50009789805	40601.404	34502.380	6099.024	0	0	
YER007CA	1.212	3081	50000020482	1924.943	1879.418	45.525	0	0	
YMR270C	0.09575	7276	50001639694	14801.313	13545.506	1255.807	0	0	
YMR271C	0.02993	5004	50006849668	3237.394	3217.529	19.865	0	0	
YOR128C	0.3226	2222	50151526673	97735.897	79601.886	18134.011	0	0	
YGR168C	0.02485	8588	50001539984	15879.045	15127.128	751.918	0	0	
YJL139C	0.05637	8277	50005300018	27704.402	24776.424	2927.978	0	0	
YMR272C	0.9375	2400	50026368103	16500.320	15099.339	1400.981	0	0	
YMR273C	0.07841	1	nan	3517489.465	3517489.465	0.000	0	0	
YAL011W	0.06755	4028	50008902820	191840.378	148537.322	43303.056	0	0	
YAL012W	5.205	614	50003656739	16244.237	15367.379	876.858	0	0	
YJL140W	0.3957	4578	50014835645	3195.191	3056.549	138.643	0	0	
YOR129C	0.03172	1641	50007849571	2683006.045	1722056.736	960949.309	0	0	
YLR117C	0.02389	5708	50020069393	363179.655	267516.955	95662.701	0	0	
YDL104C	0.02795	9020	50009528782	21591.965	20011.759	1580.206	0	0	
YLR118C	0.2693	4797	50018364972	3264.050	3172.938	91.113	0	0	
YMR274C	0.1718	6459	50021435175	8574.081	7810.678	763.403	0	0	
YAL013W	0.2613	4386	50014475640	26040.615	21971.873	4068.742	0	0	
YMR275C	0.02512	1	nan	5578019.717	5578019.717	0.000	0	0	
YOR130C	0.2081	5813	50004041342	6642.441	6075.984	566.457	0	0	
YJL141C	0.03763	2409	50006948939	1138059.925	789714.901	348345.024	0	0	
YGR169C	0.04468	8417	50009472436	21089.894	19583.842	1506.051	0	0	
YGR170W	0.01578	1	nan	29976480.072	29976480.072	0.000	0	0	
YLR119W	0.4235	4371	50001441529	2928.224	2824.768	103.456	0	0	
YER007W	0.03175	9605	50005210599	66996.620	56316.299	10680.321	0	0	
YER008C	0.1189	1	nan	205746025.527	205746025.527	0.000	0	0	
YMR276W	1.41	1854	50040850142	14890.586	13194.456	1696.130	0	0	
YJL143W	0.9719	2761	50090033853	1456.184	1429.322	26.863	0	0	
YER009W	2.061	2326	50032752745	967.480	961.607	5.873	0	0	
YJL144W	0.06627	2458	50061275298	730.266	722.409	7.858	0	0	
YOR131C	0.4567	4146	50013469830	3087.790	2932.108	155.682	0	0	
YAL014C	0.1132	5721	50002547263	4678.213	4560.945	117.268	0	0	
YLR120C	0.4911	1943	50031272175	92065.064	75144.896	16920.168	0	0	
YJL145W	0.5227	4246	50038099998	6642.353	6261.975	380.378	0	0	
