Gene,Expression_rate
YJL189W,3457.52618630006
YMR108W,8992.34574968758
YBL103C,2349.68132617074
YBR137W,25210.7004602698
YDR178W,3824.37009345347
YJL163C,537.186865937066
YMR037C,3921.27890950688
YLR059C,991.985394889732
YPL024W,2277.32913563527
YDL132W,3686.06944754046
YPL144W,17444.34982689
YLR029C,988.365193472937
YOL100W,3537.35479509701
YOR073W,3947.09997684586
YJR126C,10669.7610789437
YBL032W,16274.9834715643
YJL148W,10661.4100438167
YER175C,914.952485102782
YGL012W,1504.3462580723
YPR189W,8621.87454518648
YOL088C,3671.28152843331
YKL206C,1803.68871353585
YDL056W,2570.59580139111
YFR014C,11126.0571074649
YGL019W,2898.11130075587
YKL138C,4914.42205498695
YDR400W,15855.1645917
YCR071C,4890.33170178512
YLR333C,298.009634525448
YOL053W,2044.14815694234
YKL160W,2106.37343973911
YDR009W,3755.81599905354
YJR138W,1486.14943280213
YNL330C,2623.19037953336
YDL044C,5574.55586357883
YBL072C,415.185518710237
YNR024W,11158.9039465979
YPL078C,169.481139846847
YHR177W,11910.7151615013
YOR034C,6940.43871819181
YGL079W,17608.6430448438
YBR076W,19217.3382757861
YLL019C,5629.6774510976
YKR018C,44043.5331085264
YMR010W,4743.63723885802
YDR071C,51658.6161164783
YCL063W,2688.12949330553
YIR006C,10388.5902354006
YLR067C,4311.44253642263
YDR078C,5356.58560035766
YPR112C,2362.64853429967
YLR023C,6984.82372082102
YOL114C,894.087711722277
YGL241W,1619.04485159364
YPL086C,5113.46690568958
YNL022C,5279.08637653707
YGR090W,6604.17538455156
YKR005C,7686.11294529677
YLR272C,2139.39294112479
YOR153W,2896.34311422027
YGR218W,5080.06625801229
YML013W,7832.98331068239
YDR007W,9958.29612066821
YBL095W,2521.506368604
YNL275W,2338.95845602199
YEL048C,1343.48220529948
YLR116W,3772.2342510899
YNL215W,4471.42679107148
YLL005C,767.129269673127
YNR002C,3431.7256201202
YKL092C,24588.9229747149
YKR074W,13856.849849857
YNL054W,8058.66011904404
YMR148W,25035.8716421492
YIL018W,3285.80145996794
YMR060C,9121.0409937114
YMR083W,2786.72387182347
YPR002W,50874.3710582706
YAL047C,2488.50051928292
YOR090C,3242.66810957351
YNL023C,24183.5418046782
YHL042W,1023.99978991256
YOL030W,2636.95197670718
YDR460W,13062.3687170751
YDR505C,10198.3067885055
YHL036W,98208.0168008858
YNL223W,7786.73872081751
YLR203C,1948.21733376865
YPR139C,8536.29178397715
YPL213W,6715.90057124912
YMR305C,3136.08716018146
YER063W,26380.5375932086
YGL060W,2241.44143280653
YOR108W,369.659325022404
YBR181C,19779.9985270822
YPL250C,2163.2044123088
YGR108W,2021.23010153051
YGR089W,2362.72460774481
YMR184W,1602.15048186083
YBR175W,5686.37683710053
YKL048C,23241.0532044472
YAL007C,2139.96165570787
YEL024W,5854.79981438225
YGL137W,7356.8615506847
YJL034W,3600.93582568334
YMR123W,5618.31777176381
YKL065C,2297.96542533224
YOR051C,10054.6978988118
YPL034W,24286.3349977156
YML126C,9593.29427659194
YDL226C,543.343242495171
YOR137C,67254.18573645
YMR070W,5184.5626173616
YJR127C,2901.9489323757
YPR035W,1726.28627581454
YGL106W,14050.1006109686
YNL259C,5726.48319605156
YFL059W,5064.44213786075
YEL038W,3611.90518163134
YLR360W,2500.88455701093
YMR062C,6646.01921778868
YER024W,1693.75082830575
YHR094C,7548.56426344427
YNR036C,3392.13919466502
YBR045C,12110.6148348765
YHL032C,8719.46381390339
YGR281W,3318.57530502289
YIR011C,7246.99239811135
YMR167W,1243.83870485507
YGL160W,658.233993572905
YIL142W,8704.24621894611
YAL051W,2643.36250360196
YOR219C,18952.323490663
YLL052C,5280.95997765381
YOR313C,1376.73547993315
YDR404C,11819.8591953892
YKL113C,7967.89000512986
YBR198C,916.476680001473
YPR149W,12149.9277413082
YFL048C,83544.6708071143
YIL130W,5691.16476875683
YNL132W,3079.87610399061
YKL125W,14765.2928691598
YPL198W,279.30259416013
YMR220W,19996.4332477096
YMR159C,36661.3845199848
YJL213W,3971.03559973115
YJL204C,11422.4745395202
YBR130C,2751.96696701534
YHR047C,2112.4359853469
YDL143W,3319.83618832598
YKL164C,5425.13025857456
YBR212W,1029.24367927035
YDR376W,11034.0729724192
YFL012W,4589.46624121781
YDR444W,10396.1795304619
YGR061C,4858.49000462504
YGL036W,59142.1114706074
YOR068C,1049.1141108539
YNL210W,20514.454390093
YPL018W,2538.4425436185
YIL087C,16833.0100223078
YGR032W,3461.59531286129
YKR101W,35594.6892253208
YMR195W,4869.01845566949
YNR048W,17134.0968543957
YLR176C,9275.07835224681
YFR019W,5000.14249157149
YGL215W,3595.93501037296
YOR382W,1001.08112494644
YDR197W,2082.1088585119
YFL049W,3650.11469680555
YGR159C,1303.96813408266
YPL075W,1623.83375166026
YBR167C,2740.06083973166
YDL144C,599.787852717377
YBL099W,1543.01307061053
YMR306W,14613.5116790629
YPL192C,2364.87910406154
YHR201C,5562.37218139595
YFR047C,8358.39450992262
YDL055C,7285.26993135594
YOR355W,13783.8406696689
YPL259C,2883.42097369175
YMR236W,2371.93618152987
YKR089C,2599.73310025664
YML032C,6731.56626938864
YLR422W,40338.5531998626
YIR016W,1733.14189144947
YKL026C,5191.40214189721
YGR030C,9082.34303735413
YHR186C,20998.3771488641
YLR195C,21156.2584831922
YLR019W,2683.19848484011
YLR039C,12729.8561325184
YPR172W,2340.77603254319
YNR020C,3519.9167612089
YNL095C,253.125739823702
YIL099W,4405.34248019974
YCL004W,1220.79264299974
YMR022W,109928.399537677
YOR336W,995.988606764856
YDL057W,1609.06471015854
YHR082C,1190.31896345114
YGR224W,3069.5831080506
YMR193W,50141.7234946736
YCR081W,1700.79481519145
YHL034C,2347.30778635574
YLR077W,2689.09170943652
YPR190C,13716.3666041865
YML042W,6289.93557623098
YOR312C,2268.89782252876
YNL269W,5739.53227939607
YBR219C,3970.06819677755
YNR049C,5871.91282169212
YPL158C,2380.89078837237
YMR031C,323.361188933294
YJL014W,22142.5625365764
YOL142W,904.070706706355
YBR189W,6410.07049591059
YOL066C,18417.6230495166
YNL176C,10521.4310697543
YLR037C,17850.8376133902
YIL067C,1890.39636523024
YOR280C,3737.48386044237
YBL004W,5338.7228845439
YDR308C,3314.1341651971
YJL196C,3908.04025347112
YIR024C,9398.21220557422
YDL095W,5286.74748887955
YLR081W,1719.88570033227
YPL002C,528.400414049775
YGR180C,5943.88076766999
YOR062C,12950.5584307793
YML094W,4515.48321960861
YGR016W,5129.41923423094
YMR260C,5820.12927830858
YER177W,3792.6882666253
YHR170W,9430.20362474107
YOR363C,3886.10461068693
YBR114W,20411.4128548028
YKL059C,1023.35160936735
YNL169C,1929.27422406103
YMR113W,3538.01484997709
YPR043W,5951.98374346711
YLR126C,10616.3302129032
YDR446W,20620.2762373739
YOR028C,6359.07001972451
YDL191W,2675.95522330505
YJL070C,3945.62499730429
YIL027C,2588.67333499318
YOR338W,79280.5218586225
YHR070W,45183.2560332747
YKL144C,3018.55654092969
YJL020C,3430.23433856059
YPR027C,8353.28631453892
YDL121C,1908.80481213769
YPR085C,25022.8584194791
YHR101C,8519.23161612151
YKL218C,7108.25947197094
YJL115W,12134.8248011447
YGR210C,88136.7431216843
YAL005C,822.210974840526
YNL093W,15412.9828508956
YER040W,2998.27182183701
YJL091C,531.226115498395
YDR332W,29293.4802571698
YLR448W,1669.11696185115
YNL024C,13532.6323946006
YBR138C,6125.59529525569
YIL029C,27287.8810070983
YHL012W,5237.01090328263
YDR391C,4337.44384637701
YJL044C,2736.81845282965
YER104W,5760.00954956815
YCR052W,7422.08942907556
YPL056C,5107.94456803497
YDR214W,5412.84923913409
YML003W,12564.3636163855
YNL163C,995.253170858338
YLR291C,3520.45479330858
YNL045W,802.764043443288
YGL166W,12489.9675608612
YOL115W,3347.29855742529
YKL135C,7798.71374473362
YLR128W,4204.11023249953
YDL101C,10972.201330406
YLR453C,8551.63666480146
YBR171W,5090.30202730887
YBR029C,2121.26922663979
YPR175W,1191.06912925955
YDL215C,5426.31202661536
YJR109C,6402.86960215606
YPL112C,11764.011875804
YBL102W,2357.66290209173
YDL029W,1298.62546436599
YDR451C,43488.0313870605
YPR134W,49039.4384182798
YJR090C,10410.2043893809
YDL213C,17688.2851956378
YLR181C,45378.4824526847
YBL113C,26819.9195774556
YDR492W,15377.8200530713
YJL041W,9221.93207702606
YLR170C,5017.21682456409
YNL059C,15885.4359760422
YPL165C,2438.22041343917
YJR015W,8287.89839332178
YJL010C,2430.83847164657
YLR190W,4387.26408921689
YPL218W,6181.34214922762
YDR303C,774.513729977069
YGR078C,13960.3102587501
YOR256C,1770.55078687701
YDR213W,2022.06815864266
YDR068W,3268.5054509566
YPL068C,12431.4839681094
YER057C,92821.2422225543
YOR220W,2268.86867436618
YER061C,18385.0322316546
YOR292C,22146.120715794
YEL043W,1149.38728385069
YMR297W,1690.61915381272
YDR488C,590.309592091195
YML049C,34645.1144399072
YOR227W,12019.3756323219
YGR054W,2814.68653398356
YDR379W,3139.32522963295
YKL167C,5672.3804965847
YDR300C,7549.54991422997
YDR359C,1970.64304977686
YLR219W,33482.7470162927
YCR101C,5881.25536983713
YGL111W,6278.03715520402
YIL169C,791.427549232134
YGL089C,8556.36991985922
YNL088W,1257.3257069462
YGR163W,796.677949604947
YOR266W,5447.68948061429
YDR323C,1046.48375817921
YGL135W,1996.97611672222
YLR179C,6837.18253319323
YCL043C,5098.24804681854
YML075C,1526.62011120836
YDL147W,667.903138450263
YOR122C,2338.98802288332
YHR161C,596.641545597469
YBR264C,10160.3354876978
YKL193C,15484.3638032298
YGR246C,5691.28035220613
YOR132W,4379.32117685672
YOL097C,1295.22277400552
YJL098W,1145.42793839285
YPL074W,7752.58135298518
YCR044C,28399.3892209301
YOR076C,2878.8534990465
YGL081W,3185.8427869422
YDL141W,4206.05163941318
YKR022C,5859.12460229511
YLR245C,4837.60517864791
YGR197C,12062.5560702892
YPL036W,3944.71417444813
YMR076C,19081.4533011237
YNR023W,3314.69355536609
YPL154C,3988.36788266993
YFR039C,39469.733237443
YGL029W,12418.3916730538
YDR037W,37227.2428749989
YDR143C,9305.85957128008
YJL077C,3597.42538315484
YKL017C,15855.6127373396
YLR430W,24471.7782569835
YPL186C,1671.49554549639
YBR268W,4555.47934985139
YJL144W,6654.19980625408
YJL162C,17646.529801625
YDR030C,17595.7733305145
YLR150W,51714.2942476367
YNL031C,20148.2155043928
YML051W,818.48473591088
YLR455W,4760.02189194228
YER046W,3785.5440462273
YPL057C,965.187805063409
YPL217C,3723.80313673751
YLR457C,6436.54740639765
YNR062C,12839.8275750053
YDL072C,1943.29663962661
YBR290W,568.148880319657
YPL048W,25376.9710398123
YIL008W,3848.29917553368
YMR313C,3106.0345078952
YOL036W,3315.59936166804
YKL165C,8433.22853883932
YJR075W,4827.27434785433
YLR165C,5619.10909630245
YGL092W,8995.61540798904
YIL152W,152.338391289729
YER172C,46113.8507945862
